key,value
train_file,outputs\features_with_target\fall_risk_feature_last_12m.parquet
target_col,target_fall_next_month
predict_month,03_2026
algorithm,XGBoost
val_size,0.3
random_state,42
n_rows_input,16636
n_rows_labeled,629
n_rows_unlabeled,16007
n_features,136
train_positive_rate,0.093182
val_positive_rate,0.089947
val_roc_auc,0.492818
threshold_predict_month,0.257015
threshold_fpr,0.302326
threshold_fnr,0.705882
threshold_recall,0.294118
threshold_precision,0.087719
max_validation_fpr,0.300000
max_validation_fnr,0.250000
min_threshold,0.030000
fpr_weight,3.000000
fnr_weight,1.000000
threshold_target_distance,0.462859
threshold_selection_mode,target_distance
